Title,Model,Type,Year,Mileage,Transmission,Location,CC,Variant,Price,Origin
2015 Honda JAZZ 1.5 V (A),JAZZ,4D HATCHBACK,2015,70k - 74k,Auto,Selangor,1.5,V,40800,MALAYSIA
2016 Honda ACCORD 2.0 VTi-L (A),ACCORD,4D SEDAN,2016,90k - 94k,Auto,Johor,2,VTi-L,58800,MALAYSIA
2008 Honda CIVIC 2.4 MANUAL K24 LAST DYNO 200HP,CIVIC,4D SEDAN,2008,180k - 189k,Auto,Kuala Lumpur,2,i-VTEC,58850,MALAYSIA
2016 Honda CIVIC 1.5 TC-P (A),CIVIC,4D SEDAN,2016,85k - 89k,Auto,Johor,1.5,TC-PREMIUM,82800,MALAYSIA
2016 Honda CITY 1.5 E (A) ONE OWNER,CITY,4D SEDAN,2016,85k - 89k,Auto,Kuala Lumpur,1.5,E,35888,MALAYSIA
2016 Honda ACCORD 2.0 VTi-L (A),ACCORD,4D SEDAN,2016,90k - 94k,Auto,Johor,2,VTi-L,52900,MALAYSIA
2004 Honda ACCORD 2.0 One Careful Owner Like New,ACCORD,4D SEDAN,2004,120k - 129k,Auto,Kuala Lumpur,2,VTi,14800,MALAYSIA
2014 Honda Jazz 1.5(A) 3 Tahun Warranty,JAZZ,4D HATCHBACK,2014,75k - 79k,Auto,Penang,1.5,S,41800,MALAYSIA
2016 Honda CITY 1.5 V i-VTEC SEDAN KIT F/SPEC KLES,CITY,4D SEDAN,2016,75k - 79k,Auto,Selangor,1.5,V,38800,MALAYSIA
2019 Honda CIVIC 1.5 TC-PREMIUM TYPE-R ORI MILEAGE,CIVIC,4D SEDAN,2019,70k - 74k,Auto,Johor,1.5,TC-PREMIUM,91800,MALAYSIA
2023 Honda CITY 1.5 RS e:HEV MY20 GN (A),CITY,4D SEDAN,2023,20k - 24k,Auto,Selangor,1.5,RS e:HEV,83800,MALAYSIA
[MONITOR ROOF]NBOX Honda N BOX 660 CUSTOM GL TURBO,N BOX,4D MPV,2019,35k - 39k,Auto,Kuala Lumpur,0.7,CUSTOM GL TURBO HONDA SENSING,89700,JAPAN
2015 Honda HR-V 1.8 S (A) ANDROID PLAYER @ LOW MIL,HR-V,4D WAGON,2015,80k - 84k,Auto,Selangor,1.8,S,46999,MALAYSIA
2018 Honda CIVIC 1.5 TC-P PREMIUM (A) TCP FULLKIT,CIVIC,4D SEDAN,2018,55k - 59k,Auto,Selangor,1.5,TC-PREMIUM,82800,MALAYSIA
2016 Honda ACCORD 2.0 VTi-L (A),ACCORD,4D SEDAN,2016,90k - 94k,Auto,Penang,2,VTi-L,52900,MALAYSIA
2016 Honda ACCORD 2.0 VTi-L (A),ACCORD,4D SEDAN,2016,75k - 79k,Auto,Johor,2,VTi-L,64800,MALAYSIA
2016 Honda ACCORD 2.0 VTi-L (A),ACCORD,4D SEDAN,2016,95k - 99k,Auto,Kuala Lumpur,2,VTi-L,48780,MALAYSIA
2018 Honda BR-V 1.5 (A) PENANG TERMURA UTON,BR-V,4D WAGON,2018,75k - 79k,Auto,Penang,1.5,E,39900,MALAYSIA
2012 Honda CITY 1.5 S (A),CITY,4D SEDAN,2012,85k - 89k,Auto,Selangor,1.5,S,23801,MALAYSIA
2007 Honda ACCORD 2.0 VTi-L FACELIFT (A),ACCORD,4D SEDAN,2007,150k - 159k,Auto,Penang,2,VTi,15800,MALAYSIA
2012 Honda INSIGHT 1.3 (HYBRID) FACELIFT (A),INSIGHT,4D HATCHBACK,2012,90k - 94k,Auto,Kuala Lumpur,1.3,(HYBRID),19999,JAPAN
2015 Honda CITY 1.5 V (A) CONVERTED 2019⭐ FACELIFT,CITY,4D SEDAN,2015,110k - 119k,Auto,Kuala Lumpur,1.5,V,41800,MALAYSIA
2023 Honda CR-V 1.5 TC-P (A) TCP CRV 18K FSR SUV,CR-V,4D SUV,2023,15k - 19k,Auto,Melaka,1.5,TC-P 2WD,142800,MALAYSIA
2016 Honda HR-V 1.8 V i-VTEC SUV FULL SPEC HRV CAM,HR-V,4D WAGON,2016,85k - 89k,Auto,Selangor,1.8,V,48800,MALAYSIA
2016 Honda ACCORD 2.0 VTi-L (A),ACCORD,4D SEDAN,2016,85k - 89k,Auto,Selangor,2,VTi-L,46800,MALAYSIA
2024 Honda HR-V 1.5 V E S READY STOCK AVAILABLE,HR-V,4D WAGON,2024,<4k,Auto,Selangor,1.5,V,125400,MALAYSIA
2016 Honda ACCORD 2.4 VTi-L (A),ACCORD,4D SEDAN,2016,110k - 119k,Auto,Kedah,2.4,VTi-L,70000,MALAYSIA
2016 Honda ACCORD 2.4 VTi-L (A),ACCORD,4D SEDAN,2016,110k - 119k,Auto,Penang,2.4,VTi-L,70000,MALAYSIA
"Honda CIVIC FD 1.8S IVTEC(A)LEATHER SEAT/17""CE RIM",CIVIC,4D SEDAN,2012,90k - 94k,Auto,Johor,1.8,S-L iVTEC,36800,MALAYSIA
Honda CITY 1.5 (A) F/SERVICE F/LON DEPAVALI OFFER,CITY,4D SEDAN,2016,60k - 64k,Auto,Kuala Lumpur,1.5,E,39999,MALAYSIA
2012 Honda JAZZ1.3 (HYBRID) CAR CONDITION LIKE NEW,JAZZ,4D HATCHBACK,2012,100k - 109k,Auto,Selangor,1.3,(HYBRID),25300,JAPAN
2016 Honda CIVIC 1.5 TC-PREMIUM (A) TYPE R BODYKIT,CIVIC,4D SEDAN,2016,70k - 74k,Auto,Selangor,1.5,TC-PREMIUM,74888,MALAYSIA
2016 Honda ACCORD 2.4 VTi-L (A),ACCORD,4D SEDAN,2016,110k - 119k,Auto,Perak,2.4,VTi-L,70000,MALAYSIA
2015 Honda CIVIC 2.0 i-VTEC MODULO FACELIFT (A),CIVIC,4D SEDAN,2015,90k - 94k,Auto,Kuala Lumpur,2,SE MODULO NAVI,43800,MALAYSIA
2016 Honda CITY 1.5 E (A),CITY,4D SEDAN,2016,100k - 109k,Auto,Perak,1.5,E,42800,MALAYSIA
2012 Honda CIVIC 1.8 S (A),CIVIC,4D SEDAN,2012,120k - 129k,Auto,Kuala Lumpur,1.8,S,29300,MALAYSIA
MILEAGE 13K 2021 Honda CIVIC FL1 1.5 EX Hatchback,CIVIC,4D HATCHBACK,2021,10k - 14k,Auto,Kuala Lumpur,1.5,EX,169700,JAPAN
ORI2019 Honda CR-V 2.0 2WD E-BRAKE/E-LEATHERSEAT,CR-V,4D SUV,2019,60k - 64k,Auto,Selangor,2,2WD,86888,MALAYSIA
2014 Honda CR-V 2.0A i-VTEC FACELIFT,CR-V,4D SUV,2014,80k - 84k,Auto,Kedah,2,i-VTEC,38800,MALAYSIA
2008 Honda ACCORD 2.4 VTi-L (A),ACCORD,4D SEDAN,2008,85k - 89k,Auto,Terengganu,2.4,VTi-L,15800,MALAYSIA
Honda BR-V 1.5 V FullLOAN 3YEAR WARANTY 2020 BRV V,BR-V,4D WAGON,2020,65k - 69k,Auto,Kuala Lumpur,1.5,V,52800,MALAYSIA
2010 Honda CITY 1.5A IVTEC,CITY,4D SEDAN,2010,80k - 84k,Auto,Kedah,1.5,E,22800,MALAYSIA
2016 Honda CITY 1.5 E (A),CITY,4D SEDAN,2016,200k - 249k,Auto,Penang,1.5,E,45900,MALAYSIA
2016 Honda HR-V 1.8 V - 2 YEARS WARRANTY,HR-V,4D WAGON,2016,80k - 84k,Auto,Selangor,1.8,V,45888,MALAYSIA
"2014 Honda CITY 1.5 E MODULO (A)KEYLESS,R/CAMERA",CITY,4D SEDAN,2014,90k - 94k,Auto,Selangor,1.5,E MODULO,31800,MALAYSIA
2018 Honda Civic 1.8 (A) FULL WARRANTY 3YEAR H/L,CIVIC,4D SEDAN,2018,70k - 74k,Auto,Johor,1.8,S i-VTEC,72999,MALAYSIA
2016 Honda CITY 1.5 E (A),CITY,4D SEDAN,2016,120k - 129k,Auto,Selangor,1.5,E,34800,MALAYSIA
2016 Honda CIVIC 1.8 S (A),CIVIC,4D SEDAN,2016,70k - 74k,Auto,Perlis,1.8,S,67500,MALAYSIA
Honda CITY 1.5 V 2015 (A) FULL L0AN / CASH,CITY,4D SEDAN,2015,110k - 119k,Auto,Penang,1.5,V,41800,MALAYSIA
2016 Honda CITY 1.5 S+ (A),CITY,4D SEDAN,2016,170k - 179k,Auto,Selangor,1.5,S+,34900,MALAYSIA
2022 Honda HR-V 1.5 TURBO V (A) High Spec,HR-V,4D SUV,2022,15k - 19k,Auto,Penang,1.5,TURBO V,112800,MALAYSIA
2019 Honda CIVIC 1.8 S (A) 1 YEAR WARRANTY,CIVIC,4D SEDAN,2019,60k - 64k,Auto,Penang,1.8,S,78800,MALAYSIA
2017 Honda CIVIC 1.8 i-VTEC (A) FK8 TYPE R BODYKIT,CIVIC,4D SEDAN,2017,80k - 84k,Auto,Kuala Lumpur,1.8,S i-VTEC,70800,MALAYSIA
2024 Honda CITY 1.5 S Petrol & RS e-Hev,CITY,4D SEDAN,2024,<4k,Auto,Selangor,1.5,S,76900,MALAYSIA
2013 Honda CR-V 2.4 FACELIFT 4WD 1Y WRTY FULL SPEC,CR-V,4D SUV,2013,110k - 119k,Auto,Kuala Lumpur,2.4,-,43800,MALAYSIA
2016 Honda CITY 1.5 E (A),CITY,4D SEDAN,2016,75k - 79k,Auto,Johor,1.5,E,42800,MALAYSIA
2011 Honda STREAM 1.8 i-VTEC FACELIFT (A) Reg 2016,STREAM,4D WAGON,2011,120k - 129k,Auto,Kuala Lumpur,1.8,i-VTEC,29300,JAPAN
2006 Honda CITY 1.5 VTEC FACELIFT (A),CITY,4D SEDAN,2006,110k - 119k,Auto,Johor,1.5,VTEC,13800,MALAYSIA
2021 Honda CIVIC 1.8 S (A) SUPER LOW MILEAGE,CIVIC,4D SEDAN,2021,35k - 39k,Auto,Selangor,1.8,S,81800,MALAYSIA
2016 Honda City E Spec (A) - 1-3 YEAR WARRANTY,CITY,4D SEDAN,2016,85k - 89k,Auto,Penang,1.5,E,42800,MALAYSIA
(2017)HondaCIVIC 1.5 TC-P TYPE-R T/TOP WRT 3YRS,CIVIC,4D SEDAN,2017,75k - 79k,Auto,Johor,1.5,TC,78999,MALAYSIA
2017 Honda BRV 1.5 E (A) 3 YRS WRNTY/FOC DELIVERY,BR-V,4D WAGON,2017,80k - 84k,Auto,Perak,1.5,E,47800,MALAYSIA
2022 Honda CITY 1.5 V HATCHBACK (A),CITY,4D HATCHBACK,2022,20k - 24k,Auto,Johor,1.5,HATCHBACK V,75800,MALAYSIA
2023 Honda CITY 1.5 E HATCHBACK (A)WRTY HONDA 2028,CITY,4D HATCHBACK,2023,15k - 19k,Auto,Selangor,1.5,HATCHBACK E,70800,MALAYSIA
2017 Honda HR-V 1.8 E HRV SUV FULL BODYKIT K.LESS,HR-V,4D WAGON,2017,65k - 69k,Auto,Selangor,1.8,E,52800,MALAYSIA
Honda CITY 1.5 V Sensing Under Warranty full loan,CITY,4D SEDAN,2021,50k - 54k,Auto,Selangor,1.5,V,70999,MALAYSIA
2016 Honda CITY 1.5 V (A),CITY,4D SEDAN,2016,90k - 94k,Auto,Johor,1.5,V,43999,MALAYSIA
HONDA FL5 TYPE R 2023 mileage 7++km LIKE NEW,CIVIC,4D HATCHBACK,2023,<4k,Auto,Kuala Lumpur,2,TYPE R,319000,JAPAN
2014 Honda ACCORD 2.4 VTi-L (A) 92K+ LOW MILEAGE,ACCORD,4D SEDAN,2014,90k - 94k,Auto,Kuala Lumpur,2.4,VTi-L,42800,MALAYSIA
Honda JAZZ 2018 1.5 E SPEC TIP TOP CONDITION CAR,JAZZ,4D HATCHBACK,2018,55k - 59k,Auto,Kuala Lumpur,1.5,E,50800,MALAYSIA
1997 Honda CITY 1.5 EXi (A) Gearbox Auto 1.5cc,CITY,4D SEDAN,1997,>500k,Auto,Selangor,1.5,EXi,3000,THAILAND
2018 Honda N BOX GL CUSTOM KAW KAW SPECIAL OFFER,N BOX,4D MPV,2018,25k - 29k,Auto,Kuala Lumpur,0.7,CUSTOM G,75000,JAPAN
1 Owner Low Mileage 2005 Honda CR-V 2.0 i-VTEC (A),CR-V,4D SUV,2005,150k - 159k,Auto,Penang,2,i-VTEC,13800,MALAYSIA
2016 Honda CITY 1.5 V (A),CITY,4D SEDAN,2016,60k - 64k,Auto,Johor,1.5,V,43800,MALAYSIA
2022 Honda HR-V 1.5 HEV RS FSR L/MILAE 25K HRV SUV,HR-V,4D SUV,2022,25k - 29k,Auto,Selangor,1.5,HEV RS,113800,MALAYSIA
2016 Honda CITY 1.5 V (A),CITY,4D SEDAN,2016,75k - 79k,Auto,Johor,1.5,V,48800,MALAYSIA
FULL LOAN Honda CIVIC 1.8 S i-VTEC (A),CIVIC,4D SEDAN,2018,85k - 89k,Auto,Johor,1.8,S i-VTEC,88999,MALAYSIA
2014 Honda CITY 1.5 king car,CITY,4D SEDAN,2014,170k - 179k,Auto,Penang,1.5,S+,34800,MALAYSIA
Honda ACCORD 2.0 VTi-L BULANAN HANYA RM8XX,ACCORD,4D SEDAN,2015,90k - 94k,Auto,Selangor,2,VTi-L,45800,MALAYSIA
2015 Honda JAZZ 1.5 V (A) Full Spec Keyless,JAZZ,4D HATCHBACK,2015,90k - 94k,Auto,Selangor,1.5,V,47800,MALAYSIA
Honda BR-V 1.5 V # FREE 3 YEAR WARRANTY # 1 OWNER,BR-V,4D WAGON,2017,70k - 74k,Auto,Selangor,1.5,V,41700,MALAYSIA
2011 Honda INSIGHT 1.3 (HYBRID) (A) ACCIDENT FREE,INSIGHT,4D HATCHBACK,2011,140k - 149k,Auto,Selangor,1.3,(HYBRID),15800,JAPAN
Honda ACCORD 2.4 siap AUTO siap tukarnama,ACCORD,4D SEDAN,2009,85k - 89k,Auto,Selangor,2.4,VTi-L,19999,MALAYSIA
2016 Honda CITY 1.5 V (A),CITY,4D SEDAN,2016,100k - 109k,Auto,Selangor,1.5,E,42800,MALAYSIA
2013 Honda CR-V 2.0 Bagus (A) LEATHER SEAT / LCD,CR-V,4D SUV,2013,110k - 119k,Auto,Kuala Lumpur,2,LIMITED,32666,MALAYSIA
2014 Honda CITY 1.5 S FACELIFT (A),CITY,4D SEDAN,2014,140k - 149k,Auto,Melaka,1.5,S,28500,MALAYSIA
FU/LOAN 2017 Honda CITY 1.5 (A)x lesen/ctos/ptptn,CITY,4D SEDAN,2017,120k - 129k,Auto,Johor,1.5,E,46999,MALAYSIA
Honda CITY 2006 1.5 VTEC FACELIFT (A),CITY,4D SEDAN,2006,160k - 169k,Auto,Johor,1.5,VTEC,13500,MALAYSIA
Full honda service 2018 Honda CR-V 2.0 2WD (A),CR-V,4D SUV,2018,70k - 74k,Auto,Kedah,2,2WD,86000,MALAYSIA
Civic 2021 Honda CIVIC 1.5 EX FL1 (AT),CIVIC,4D HATCHBACK,2021,10k - 14k,Auto,Selangor,1.5,EX,160000,JAPAN
2015 Honda HR-V 1.8 V (A) HRV SUV/TIPTOP CONDITION,HR-V,4D WAGON,2015,95k - 99k,Auto,Kuala Lumpur,1.8,V,46800,MALAYSIA
2016 Honda CIVIC 1.8 S FACELIFT (A),CIVIC,4D SEDAN,2016,80k - 84k,Auto,Kuala Lumpur,1.8,S,62800,MALAYSIA
2016 Honda HR-V 1.8 V (A) DUAL LED 2 YEAR WARRANTY,HR-V,4D WAGON,2016,85k - 89k,Auto,Selangor,1.8,V,47888,MALAYSIA
1995 Honda ACCORD 1.6 (M),ACCORD,4D SEDAN,1995 or older,15k - 19k,Manual,Sabah,1.6,-,4750,JAPAN
Blacklist Muka 1K Honda CITY 1.5 (A) E S,CITY,4D SEDAN,2012,120k - 129k,Auto,Selangor,1.5,E,25800,MALAYSIA
2011 Honda INSIGHT 1.3 (HYBRID) (A) BUDGET CAR,INSIGHT,4D HATCHBACK,2011,90k - 94k,Auto,Kuala Lumpur,1.3,(HYBRID),16999,JAPAN
2016 Honda CIVIC 1.5 TC-P Turbo (A) full loan,CIVIC,4D SEDAN,2016,95k - 99k,Auto,Kuala Lumpur,1.5,TC-PREMIUM,75900,MALAYSIA
2014 Honda CIVIC 1.8 MODULO BODYKIT LEATHER SEAT,CIVIC,4D SEDAN,2014,100k - 109k,Auto,Selangor,1.8,SE MODULO S,32888,MALAYSIA
2016 Honda CIVIC 1.8 S FACELIFT (A),CIVIC,4D SEDAN,2016,75k - 79k,Auto,Johor,1.8,S,66999,MALAYSIA
ORI 2008 Honda CR-V 2.0 i-VTEC WELL MAINTAINED,CR-V,4D SUV,2008,170k - 179k,Auto,Kuala Lumpur,2,i-VTEC,21999,MALAYSIA
2018 Honda CIVIC 1.8 S i-VTEC FULL SERVICE HONDA,CIVIC,4D SEDAN,2018,90k - 94k,Auto,Selangor,1.8,S i-VTEC,70500,MALAYSIA
2015 Honda HR-V 1.8 E (A) KEDAI LOAN CASH KREDIT,HR-V,4D WAGON,2015,100k - 109k,Auto,Selangor,1.8,E,41990,MALAYSIA
HONDA CITY 2024 MAX REBATE in TOWN,CITY,4D SEDAN,2024,<4k,Auto,Selangor,1.5,E,76900,MALAYSIA
2016 Honda CIVIC 1.8 S FACELIFT (A),CIVIC,4D SEDAN,2016,85k - 89k,Auto,Perak,1.8,S,69800,MALAYSIA
2016 Honda CR-V 2.0 2WD FACELIFT (A),CR-V,4D SUV,2016,90k - 94k,Auto,Sabah,2,2WD,67800,MALAYSIA
2013 Honda CR-Z 1.5 HYBRID FL (M) MUGEN SPOILER,CR-Z,2D HATCHBACK,2013,90k - 94k,Manual,Kuala Lumpur,1.5,(HYBRID),36888,JAPAN
2016 Honda CR-V 2.0 2WD FACELIFT (A),CR-V,4D SUV,2016,120k - 129k,Auto,Johor,2,2WD,65800,MALAYSIA
2016 Honda CR-V 2.0 FULL SPEC STOCK BARU ORI T/TOP,CR-V,4D SUV,2016,85k - 89k,Auto,Johor,2,2WD,57999,MALAYSIA
[ 2015 ] Honda HR-V 1.8 V (A) FULL SPEC,HR-V,4D WAGON,2015,30k - 34k,Auto,Selangor,1.8,V,45700,MALAYSIA
2016 Honda CR-V 2.0 4WD FACELIFT (A),CR-V,4D SUV,2016,80k - 84k,Auto,Selangor,2,4WD,46800,MALAYSIA
2006 CASH OTR Honda CITY 1.5 VTEC FACELIFT (A),CITY,4D SEDAN,2006,100k - 109k,Auto,Selangor,1.5,VTEC,10800,MALAYSIA
Honda CIVIC 1.5 TC-P(A)FREE WARRANTY F/LON F/S/K,CIVIC,4D SEDAN,2018,65k - 69k,Auto,Kuala Lumpur,1.5,TC-PREMIUM,85999,MALAYSIA
2020 Honda CR-V 1.5 TC 2WD (A),CR-V,4D SUV,2020,90k - 94k,Auto,Kuala Lumpur,1.5,TC 2WD,99800,MALAYSIA
2016 Honda CR-V 2.0 4WD FACELIFT (A),CR-V,4D SUV,2016,90k - 94k,Auto,Selangor,2,4WD,57999,MALAYSIA
Honda BR-V V 1.5 FULL SERVICE REC 55KKM 2020 BRV V,BR-V,4D WAGON,2020,65k - 69k,Auto,Kuala Lumpur,1.5,V,54800,MALAYSIA
Honda JAZZ 1.3 (HYBRID) FACELIFT (A) loan kedai,JAZZ,4D HATCHBACK,2014,100k - 109k,Auto,Selangor,1.3,(HYBRID),25880,JAPAN
2016 Honda CR-V 2.0 4WD FACELIFT CRV SUV CAM KLES,CR-V,4D SUV,2016,80k - 84k,Auto,Selangor,2,4WD,55800,MALAYSIA
2017 Honda CIVIC 1.8 S i-VTEC (A) MILEAGE 51K,CIVIC,4D SEDAN,2017,50k - 54k,Auto,Perak,1.8,S i-VTEC,72800,MALAYSIA
2016 Honda CR-V 2.0 4WD FACELIFT CRV SUV CAM KLES,CR-V,4D SUV,2016,80k - 84k,Auto,Selangor,2,4WD,55800,MALAYSIA
Honda Accord 2.0 VTi-L(A)1owner ElecSeat ModuloKit,ACCORD,4D SEDAN,2015,80k - 84k,Auto,Kuala Lumpur,2,VTi-L,45800,MALAYSIA
2016 Honda CR-V 2.0 2WD FACELIFT (A)LEATHER/P.SEAT,CR-V,4D SUV,2016,80k - 84k,Auto,Selangor,2,2WD,55800,MALAYSIA
2015 Honda JAZZ 1.5 V (A) 97K FS/RECORD WARRANTY,JAZZ,4D HATCHBACK,2015,95k - 99k,Auto,Selangor,1.5,V,45999,MALAYSIA
2018 Honda JAZZ 1.5 S (A),JAZZ,4D HATCHBACK,2018,130k - 139k,Auto,Johor,1.5,S,58700,MALAYSIA
2014 Honda Jazz 1.5 i-Vtec Sport Rim Tip Top Car,JAZZ,4D HATCHBACK,2013,85k - 89k,Auto,Johor,1.5,-,35800,MALAYSIA
1k BLACKLIST LOAN KEDAI xDOC BOLEH HONDA CR-V (A),CR-V,4D SUV,2012,100k - 109k,Auto,Selangor,2,i-VTEC,19700,MALAYSIA
2016 Honda CR-V 2.4 4WD FACELIFT (A),CR-V,4D SUV,2016,75k - 79k,Auto,Johor,2.4,4WD,55999,MALAYSIA
Honda CIVIC 1.5 TC TIP TOP/NICE CONDITION CAR,CIVIC,4D SEDAN,2017,60k - 64k,Auto,Kuala Lumpur,1.5,TC,69800,MALAYSIA
2024 Honda CITY 1.5 HATCHBACK V FULON 0DP LADY USE,CITY,4D HATCHBACK,2024,5k - 9k,Auto,Kuala Lumpur,1.5,HATCHBACK V SENSING,78888,MALAYSIA
2016 Honda CR-V 2.4 4WD FACELIFT (A),CR-V,4D SUV,2016,75k - 79k,Auto,Selangor,2.4,4WD,56800,MALAYSIA
Honda CIVIC 1.8 A GREY TYPE-R BODYKIT WARRANTY,CIVIC,4D SEDAN,2019,80k - 84k,Auto,Johor,1.8,S,80800,MALAYSIA
Honda CR-V 1.5 TC-P 2WD (A) OriCondition/FulLoan,CR-V,4D SUV,2019,80k - 84k,Auto,Selangor,1.5,TC-P 2WD,99999,MALAYSIA
2010 Honda ACCORD 2.0 VTi-L (A),ACCORD,4D SEDAN,2010,200k - 249k,Auto,Kelantan,2,VTi-L,20900,MALAYSIA
2016 Honda HR-V 1.8 V (A),HR-V,4D WAGON,2016,95k - 99k,Auto,Kuala Lumpur,1.8,V,39800,MALAYSIA
Honda CR-Z 1.5 (HYBRID) (A) FULL MUGEN R BODY KIT,CR-Z,2D HATCHBACK,2012,110k - 119k,Auto,Kuala Lumpur,1.5,(HYBRID),36800,JAPAN
2018 Honda CR-V 1.5 TC-P 2WD (A) Full Service Rec,CR-V,4D SUV,2018,80k - 84k,Auto,Kuala Lumpur,1.5,TC-P 2WD,97800,MALAYSIA
Honda JAZZ 1.5 V FULL BODYKIT SPORT RIM ADJUSTABLE,JAZZ,4D HATCHBACK,2018,65k - 69k,Auto,Kuala Lumpur,1.5,V,61800,MALAYSIA
Honda CR-V 2.0 2WD CRV LANE WATCH 6XK KM WRTY 2026,CR-V,4D SUV,2021,55k - 59k,Auto,Kuala Lumpur,2,2WD,101800,MALAYSIA
2018 Honda HR-V 1.8 V ENHANCED (A),HR-V,4D WAGON,2018,80k - 84k,Auto,Johor,1.8,V,59800,MALAYSIA
2016 Honda JAZZ 1.5 V (A) warranty,JAZZ,4D HATCHBACK,2016,80k - 84k,Auto,Kuala Lumpur,1.5,V,48800,MALAYSIA
2017 Honda CITY 1.5 S FL BODYKIT P/START KLES,CITY,4D SEDAN,2017,70k - 74k,Auto,Selangor,1.5,S,40800,MALAYSIA
2016 Honda HR-V 1.8 V (A),HR-V,4D WAGON,2016,120k - 129k,Auto,Perak,1.8,V,50000,MALAYSIA
2008 Honda ACCORD 2.4 VTi-L FACELIFT (A),ACCORD,4D SEDAN,2008,150k - 159k,Auto,Johor,2.4,VTi-L,19700,MALAYSIA
2013 Honda CIVIC 1.5 (HYBRID) (A) 1 UNIT LEFT,CIVIC,4D SEDAN,2013,85k - 89k,Auto,Selangor,1.5,(HYBRID),23688,JAPAN
2016 Honda JAZZ 1.5 E (A),JAZZ,4D HATCHBACK,2016,95k - 99k,Auto,Penang,1.5,E,45400,MALAYSIA
2017 Honda CR-V 2.0 (A),CR-V,4D SUV,2017,100k - 109k,Auto,Johor,2,2WD,89600,MALAYSIA
2018 Honda N BOX 660 Turbo Custom / 3y Warranty,N BOX,4D MPV,2018,35k - 39k,Auto,Johor,0.7,CUSTOM G,79800,JAPAN
2007 Honda CITY 1.5 i-DSI FACELIFT (A)-Tip Top,CITY,4D SEDAN,2007,95k - 99k,Auto,Selangor,1.5,i-DSI,10800,MALAYSIA
2016 Honda JAZZ 1.5 E (A),JAZZ,4D HATCHBACK,2016,85k - 89k,Auto,Selangor,1.5,E,42999,MALAYSIA
2023 REG 2024 Honda CIVIC FE 1.5 E (NEW CAR RATE),CIVIC,4D SEDAN,2023,20k - 24k,Auto,Selangor,1.5,E,109999,MALAYSIA
2014 Honda CITY 1.5 E (A)/ 3 YEARS WARRNTY,CITY,4D SEDAN,2014,110k - 119k,Auto,Kuala Lumpur,1.5,E,39800,MALAYSIA
Honda ACCORD 1.5 TC-P(A)F/S/KOD U/WARRANTY HONDA,ACCORD,4D SEDAN,2020,35k - 39k,Auto,Kuala Lumpur,1.5,TC-P,125999,MALAYSIA
2008 Honda JAZZ 1.5 i-DSI FACELIFT (A)LOAN KEDAI,JAZZ,4D HATCHBACK,2008,160k - 169k,Auto,Kuala Lumpur,1.5,i-DSI,17888,THAILAND
2019 Honda CITY 1.5 E FaCelfit Warranty,CITY,4D SEDAN,2019,55k - 59k,Auto,Penang,1.5,E,57800,MALAYSIA
2022 Honda CITY 1.5 E (A)LOW MILEAGE UNDER WARANTY,CITY,4D SEDAN,2022,20k - 24k,Auto,Selangor,1.5,E,70800,MALAYSIA
2022 Honda CITY 1.5 E (A) TIP TOP CONDITION,CITY,4D SEDAN,2022,35k - 39k,Auto,Melaka,1.5,E,70000,MALAYSIA
2016 Honda JAZZ 1.5 E (A),JAZZ,4D HATCHBACK,2016,95k - 99k,Auto,Selangor,1.5,E,48800,MALAYSIA
Blacklist Loan Kedai NoDoc 0dp CITY 1.5 E FACELIFT,CITY,4D SEDAN,2013,95k - 99k,Auto,Kuala Lumpur,1.5,E,18800,MALAYSIA
2016 Honda JAZZ 1.5 E (A),JAZZ,4D HATCHBACK,2016,90k - 94k,Auto,Selangor,1.5,E,51800,MALAYSIA
2020 Honda CIVIC 1.5 HATCHBACK (FK7) (MT),CIVIC,4D HATCHBACK,2020,40k - 44k,Auto,Selangor,1.5,HATCHBACK,149000,JAPAN
Honda CIVIC 1.5 TC-PREMIUM (A) TYPE R / 4 BREMBO,CIVIC,4D SEDAN,2019,60k - 64k,Auto,Kuala Lumpur,1.5,TC-PREMIUM,94800,MALAYSIA
2012 Honda CIVIC 1.5 HYBRID (A) 1 YEAR WARRANTY,CIVIC,4D SEDAN,2012,90k - 94k,Auto,Selangor,1.5,(HYBRID),25800,JAPAN
2016 Honda CIVIC 1.5 TC (A),CIVIC,4D SEDAN,2016,110k - 119k,Auto,Kedah,1.5,TC,75000,MALAYSIA
2010 Honda CITY 1.5 I-VTEC MODULO (A) PADDLE SHIFT,CITY,4D SEDAN,2010,100k - 109k,Auto,Kuala Lumpur,1.5,E MODULO,24800,MALAYSIA
2015 Honda CITY 1.5 E (A) TIP TOP CONDITION,CITY,4D SEDAN,2015,130k - 139k,Auto,Melaka,1.5,E,40000,MALAYSIA
2016 Honda JAZZ 1.5 E (A),JAZZ,4D HATCHBACK,2016,95k - 99k,Auto,Johor,1.5,E,45900,MALAYSIA
2022 Honda HR-V 1.8 RS (A) FSR WARRANTY FULON,HR-V,4D WAGON,2022,50k - 54k,Auto,Selangor,1.8,RS,86888,MALAYSIA
2016 Honda JAZZ 1.5 E (A),JAZZ,4D HATCHBACK,2016,65k - 69k,Auto,Selangor,1.5,E,37800,MALAYSIA
2020 Honda CIVIC 1.5 (A) Full Honda Service Record,CIVIC,4D SEDAN,2020,45k - 49k,Auto,Penang,1.5,TC,99800,MALAYSIA
